full_name,ID,player,Contracts
Marc Gasol,https://basketball.realgm.com/player/Marc-Gasol/summary/22,http://www.wikidata.org/entity/Q275889,Current Team: CB Girona
Goran Dragić,https://basketball.realgm.com/player/Goran-Dragić/summary/812,http://www.wikidata.org/entity/Q369532,Under Contract (Milwaukee Bucks)
Wes Unseld,https://basketball.realgm.com/player/Wes-Unseld/summary/65879,http://www.wikidata.org/entity/Q456776,Unrestricted Free Agent
Stojko Vranković,https://basketball.realgm.com/player/Stojko-Vranković/summary/1457,http://www.wikidata.org/entity/Q529897,Unrestricted Free Agent
Peja Stojaković,https://basketball.realgm.com/player/Peja-Stojaković/summary/614,http://www.wikidata.org/entity/Q277780,Unrestricted Free Agent
Caron Butler,https://basketball.realgm.com/player/Caron-Butler/summary/218,http://www.wikidata.org/entity/Q370268,Unrestricted Free Agent
J. J. Barea,https://basketball.realgm.com/player/J.-J.-Barea/summary/298,http://www.wikidata.org/entity/Q371193,Unrestricted Free Agent
Brook Lopez,https://basketball.realgm.com/player/Brook-Lopez/summary/770,http://www.wikidata.org/entity/Q460131,Under Contract (Milwaukee Bucks)
DeMarcus Cousins,https://basketball.realgm.com/player/DeMarcus-Cousins/summary/2192,http://www.wikidata.org/entity/Q464312,Unrestricted Free Agent (Denver Nuggets)
Andre Drummond,https://basketball.realgm.com/player/Andre-Drummond/summary/24241,http://www.wikidata.org/entity/Q493115,Under Contract (Chicago Bulls)
Jimmy Butler,https://basketball.realgm.com/player/Jimmy-Butler/summary/6160,http://www.wikidata.org/entity/Q498348,Under Contract (Miami Heat)
Mario Kasun,https://basketball.realgm.com/player/Mario-Kasun/summary/493,http://www.wikidata.org/entity/Q280437,Unrestricted Free Agent
Boban Marjanović,https://basketball.realgm.com/player/Boban-Marjanović/summary/2413,http://www.wikidata.org/entity/Q1277708,Under Contract (Houston Rockets)
Wang Zhizhi,https://basketball.realgm.com/player/Wang-Zhizhi/summary/973,http://www.wikidata.org/entity/Q647405,Unrestricted Free Agent
Juan Ignacio Sánchez,https://basketball.realgm.com/player/Juan-Ignacio-Sánchez/summary/686,http://www.wikidata.org/entity/Q556418,Unrestricted Free Agent
Martynas Andriuškevičius,https://basketball.realgm.com/player/Martynas-Andriuškevičius/summary/141,http://www.wikidata.org/entity/Q557508,Unrestricted Free Agent
Jawad Williams,https://basketball.realgm.com/player/Jawad-Williams/summary/916,http://www.wikidata.org/entity/Q577516,Unrestricted Free Agent
George Wilson,https://basketball.realgm.com/player/George-Wilson/summary/66852,http://www.wikidata.org/entity/Q651203,Unrestricted Free Agent
Raja Bell,https://basketball.realgm.com/player/Raja-Bell/summary/690,http://www.wikidata.org/entity/Q461763,Unrestricted Free Agent
Steve Smith,https://basketball.realgm.com/player/Steve-Smith/summary/972,http://www.wikidata.org/entity/Q463200,Unrestricted Free Agent
Nick Calathes,https://basketball.realgm.com/player/Nick-Calathes/summary/1633,http://www.wikidata.org/entity/Q932863,Unrestricted Free Agent
Nemanja Nedović,https://basketball.realgm.com/player/Nemanja-Nedović/summary/24375,http://www.wikidata.org/entity/Q2757717,Unrestricted Free Agent
Freeman Williams,https://basketball.realgm.com/player/Freeman-Williams/summary/56618,http://www.wikidata.org/entity/Q1621861,Unrestricted Free Agent
Juan Dixon,https://basketball.realgm.com/player/Juan-Dixon/summary/201,http://www.wikidata.org/entity/Q2334056,Unrestricted Free Agent
Bojan Bogdanović,https://basketball.realgm.com/player/Bojan-Bogdanović/summary/9740,http://www.wikidata.org/entity/Q717344,Under Contract (Detroit Pistons)
Darrell Griffith,https://basketball.realgm.com/player/Darrell-Griffith/summary/4679,http://www.wikidata.org/entity/Q1166588,Unrestricted Free Agent
Kenny Smith,https://basketball.realgm.com/player/Kenny-Smith/summary/4607,http://www.wikidata.org/entity/Q1168929,Unrestricted Free Agent
Chris Anstey,https://basketball.realgm.com/player/Chris-Anstey/summary/594,http://www.wikidata.org/entity/Q1076942,Unrestricted Free Agent
Stan McKenzie,https://basketball.realgm.com/player/Stan-McKenzie/summary/66550,http://www.wikidata.org/entity/Q1626992,Unrestricted Free Agent
Walt Bellamy,https://basketball.realgm.com/player/Walt-Bellamy/summary/66188,http://www.wikidata.org/entity/Q735251,Unrestricted Free Agent
