Player,Team,Conference,Month,Year,Award,in
Kobe Bryant,Los Angeles Lakers,West,January,2012,NBA Player Of The Month,2012-01-01 00:00:00
Carmelo Anthony,New York Knicks,East,April,2013,NBA Player Of The Month,2013-04-01 00:00:00
Stephen Curry,Golden State Warriors,West,April,2013,NBA Player Of The Month,2013-04-01 00:00:00
LeBron James,Miami Heat,East,March,2013,NBA Player Of The Month,2013-03-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,March,2013,NBA Player Of The Month,2013-03-01 00:00:00
LeBron James,Miami Heat,East,February,2013,NBA Player Of The Month,2013-02-01 00:00:00
Kobe Bryant,Los Angeles Lakers,West,February,2013,NBA Player Of The Month,2013-02-01 00:00:00
LeBron James,Miami Heat,East,January,2013,NBA Player Of The Month,2013-01-01 00:00:00
Tony Parker,San Antonio Spurs,West,January,2013,NBA Player Of The Month,2013-01-01 00:00:00
LeBron James,Miami Heat,East,December,2013,NBA Player Of The Month,2013-12-01 00:00:00
Chris Paul,Los Angeles Clippers,West,December,2013,NBA Player Of The Month,2013-12-01 00:00:00
LeBron James,Miami Heat,East,November,2013,NBA Player Of The Month,2013-11-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,November,2013,NBA Player Of The Month,2013-11-01 00:00:00
Al Jefferson,Charlotte Bobcats,East,March,2014,NBA Player Of The Month,2014-03-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,March,2014,NBA Player Of The Month,2014-03-01 00:00:00
LeBron James,Miami Heat,East,February,2014,NBA Player Of The Month,2014-02-01 00:00:00
Blake Griffin,Los Angeles Clippers,West,February,2014,NBA Player Of The Month,2014-02-01 00:00:00
Carmelo Anthony,New York Knicks,East,January,2014,NBA Player Of The Month,2014-01-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,January,2014,NBA Player Of The Month,2014-01-01 00:00:00
LeBron James,Miami Heat,East,December,2014,NBA Player Of The Month,2014-12-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,December,2014,NBA Player Of The Month,2014-12-01 00:00:00
Paul George,Indiana Pacers,East,November,2014,NBA Player Of The Month,2014-11-01 00:00:00
Kevin Durant,Oklahoma City Thunder,West,November,2014,NBA Player Of The Month,2014-11-01 00:00:00
DeMar DeRozan,Toronto Raptors,East,April,2015,NBA Player Of The Month,2015-04-01 00:00:00
Russell Westbrook,Oklahoma City Thunder,West,April,2015,NBA Player Of The Month,2015-04-01 00:00:00
LeBron James,Cleveland Cavaliers,East,March,2015,NBA Player Of The Month,2015-03-01 00:00:00
Russell Westbrook,Oklahoma City Thunder,West,March,2015,NBA Player Of The Month,2015-03-01 00:00:00
LeBron James,Cleveland Cavaliers,East,February,2015,NBA Player Of The Month,2015-02-01 00:00:00
Russell Westbrook,Oklahoma City Thunder,West,February,2015,NBA Player Of The Month,2015-02-01 00:00:00
DeMarre Carroll,Atlanta Hawks,East,January,2015,NBA Player Of The Month,2015-01-01 00:00:00
Al Horford,Atlanta Hawks,East,January,2015,NBA Player Of The Month,2015-01-01 00:00:00
Kyle Korver,Atlanta Hawks,East,January,2015,NBA Player Of The Month,2015-01-01 00:00:00
Paul Millsap,Atlanta Hawks,East,January,2015,NBA Player Of The Month,2015-01-01 00:00:00
Jeff Teague,Atlanta Hawks,East,January,2015,NBA Player Of The Month,2015-01-01 00:00:00
James Harden,Houston Rockets,West,January,2015,NBA Player Of The Month,2015-01-01 00:00:00
Kyle Lowry,Toronto Raptors,East,December,2015,NBA Player Of The Month,2015-12-01 00:00:00
James Harden,Houston Rockets,West,December,2015,NBA Player Of The Month,2015-12-01 00:00:00
Jimmy Butler,Chicago Bulls,East,November,2015,NBA Player Of The Month,2015-11-01 00:00:00
Stephen Curry,Golden State Warriors,West,November,2015,NBA Player Of The Month,2015-11-01 00:00:00
LeBron James,Cleveland Cavaliers,East,April,2016,NBA Player Of The Month,2016-04-01 00:00:00
James Harden,Houston Rockets,West,April,2016,NBA Player Of The Month,2016-04-01 00:00:00
LeBron James,Cleveland Cavaliers,East,March,2016,NBA Player Of The Month,2016-03-01 00:00:00
Russell Westbrook,Oklahoma City Thunder,West,March,2016,NBA Player Of The Month,2016-03-01 00:00:00
LeBron James,Cleveland Cavaliers,East,February,2016,NBA Player Of The Month,2016-02-01 00:00:00
Stephen Curry,Golden State Warriors,West,February,2016,NBA Player Of The Month,2016-02-01 00:00:00
