,Player,Team,Conference,Month,Year,Award
240,Stephen Curry,Golden State Warriors,West,April,2021,NBA Player Of The Month
241,James Harden,Brooklyn Nets,East,March,2021,NBA Player Of The Month
242,Nikola Jokic,Denver Nuggets,West,March,2021,NBA Player Of The Month
243,James Harden,Brooklyn Nets,East,February,2021,NBA Player Of The Month
244,Devin Booker,Phoenix Suns,West,February,2021,NBA Player Of The Month
245,Joel Embiid,Philadelphia Sixers,East,January,2021,NBA Player Of The Month
246,Nikola Jokic,Denver Nuggets,West,January,2021,NBA Player Of The Month
247,Giannis Antetokounmpo,Milwaukee Bucks,East,March,2022,NBA Player Of The Month
248,Nikola Jokic,Denver Nuggets,West,March,2022,NBA Player Of The Month
249,DeMar DeRozan,Chicago Bulls,East,February,2022,NBA Player Of The Month
250,Luka Doncic,Dallas Mavericks,West,February,2022,NBA Player Of The Month
251,Joel Embiid,Philadelphia Sixers,East,January,2022,NBA Player Of The Month
252,Nikola Jokic,Denver Nuggets,West,January,2022,NBA Player Of The Month
253,Joel Embiid,Philadelphia Sixers,East,December,2022,NBA Player Of The Month
254,Donovan Mitchell,Utah Jazz,West,December,2022,NBA Player Of The Month
255,Kevin Durant,Brooklyn Nets,East,November,2022,NBA Player Of The Month
256,Stephen Curry,Golden State Warriors,West,November,2022,NBA Player Of The Month
